wormbaseID	publicID	sequenceID	OscAmplitude	PeakPhase	Class
WBGene00000397	cdh-5	F08B4.2	2.574404976	295.9760274	Osc
WBGene00000399	cdh-7	R05H10.6	3.320184152	202.8913041	Osc
WBGene00000401	cdh-9	F59C12.1	1.050272397	308.61898	Osc
WBGene00000402	cdh-10	C45G7.5	2.558706708	217.5299992	Osc
WBGene00000415	ced-1	Y47H9C.4	0.885269659	183.375879	Osc
WBGene00000422	ced-8	F08F1.5	1.062750917	259.7967048	Osc
WBGene00000425	ced-11	ZK512.3	1.826194148	16.53310472	Osc
WBGene00000430	ceh-5	C16C2.1	0.751737119	22.74974284	Osc
WBGene00000438	ceh-14	F46C8.5	0.621435587	85.88911057	Osc
WBGene00000441	ceh-18	ZC64.3	0.584445086	70.94339813	Osc
WBGene00000446	ceh-23	ZK652.5	0.706418584	231.4736213	Osc
WBGene00000480	cgp-1	Y38C9A.2	0.854728422	104.4962118	Osc
WBGene00000493	che-14	F56H1.1	1.896231915	283.8076792	Osc
WBGene00000497	chs-2	F48A11.1	2.731028645	321.2814552	Osc
WBGene00000503	cht-1	C04F6.3	2.304524092	287.30359	Osc
WBGene00000512	ckb-2	B0285.9	1.415410568	118.5113435	Osc
WBGene00000516	cki-1	T05A6.1	1.108951533	74.8048706	Osc
WBGene00000517	cki-2	T05A6.2	0.528981873	78.09388935	Osc
WBGene00000521	cky-1	C15C8.2	2.609817975	243.3124006	Osc
WBGene00000522	clc-1	C09F12.1	1.043735311	75.50392369	Osc
WBGene00000523	clc-2	C01C10.1	1.006754118	150.901703	Osc
WBGene00000526	clc-5	C01C10.4	1.108609909	158.095958	Osc
WBGene00000528	clh-1	T27D12.2	0.856221603	129.8563025	Osc
WBGene00000530	clh-3	E04F6.11	0.519447817	132.4996981	Osc
WBGene00000535	cpi-1	K08B4.6	0.950319916	96.2843276	Osc
WBGene00000541	cln-3.3	ZC190.1	0.584274973	220.9092313	Osc
WBGene00000542	clp-1	C06G4.2	0.633984705	116.8097861	Osc
WBGene00000547	clp-7	Y77E11A.11	0.633060465	282.4711687	Osc
WBGene00000556	cnc-2	R09B5.3	0.727223378	220.7750734	Osc
WBGene00000557	cnc-3	R09B5.8	2.672284161	259.6807986	Osc
WBGene00000558	cnc-4	R09B5.9	1.227990898	58.36238549	Osc
WBGene00000562	cng-1	F14H8.6	1.220348871	118.9341948	Osc
WBGene00000565	cnt-1	Y17G7B.15	0.557287207	325.1452078	Osc
WBGene00000599	col-10	B0222.8	1.737119293	84.36046279	Osc
WBGene00000601	col-12	F15H10.1	3.418309601	57.85997683	Osc
WBGene00000602	col-13	F15H10.2	3.18256486	65.43919584	Osc
WBGene00000603	col-14	C46A5.3	3.632655926	22.45340956	Osc
WBGene00000606	col-17	F11G11.10	3.214791934	319.9279498	Osc
WBGene00000609	col-20	F11G11.11	0.617108765	357.0558176	Osc
WBGene00000610	col-33	F36A4.6	3.526437903	354.3760722	Osc
WBGene00000611	col-34	F36A4.10	1.593388473	357.5581972	Osc
WBGene00000615	col-38	F54C9.4	1.724448699	299.2679278	Osc
WBGene00000616	col-39	C09G5.4	3.759272492	92.90593448	Osc
WBGene00000618	col-41	T10B10.1	3.514934996	334.6105564	Osc
WBGene00000620	col-43	ZC513.8	2.847923859	296.7087252	Osc
WBGene00000623	col-46	Y18H1A.13	2.918518118	233.1258974	Osc
WBGene00000624	col-47	Y18H1A.12	3.03493391	239.0898544	Osc
WBGene00000625	col-48	Y54E10BL.2	3.322848633	3.341777809	Osc
WBGene00000626	col-49	K09H9.3	1.859292924	289.5676021	Osc
WBGene00000630	col-53	M01A12.1	0.590517124	60.84440148	Osc
WBGene00000631	col-54	F33D11.3	4.047708538	8.684531574	Osc
WBGene00000633	col-56	T08B2.2	1.383279177	307.6441426	Osc
WBGene00000634	col-58	F26B1.4	2.937430557	17.62242248	Osc
WBGene00000637	col-61	C01H6.1	2.119467302	23.12859547	Osc
WBGene00000641	col-65	K08C9.4	3.415447052	5.127933371	Osc
WBGene00000644	col-68	C50D2.4	1.762357786	12.90618842	Osc
WBGene00000645	col-69	K01A2.7	2.114481797	354.5088218	Osc
WBGene00000647	col-71	Y49F6B.10	1.211456854	308.0085042	Osc
WBGene00000649	col-73	F11G11.12	3.218053932	339.2400507	Osc
WBGene00000651	col-75	K03H9.2	2.000221736	329.5771689	Osc
WBGene00000652	col-76	M110.1	1.164158271	346.7933472	Osc
WBGene00000653	col-77	M195.1	3.855722272	15.45671941	Osc
WBGene00000655	col-79	C09G5.3	1.826855777	291.8613499	Osc
WBGene00000656	col-80	C09G5.5	3.511866106	153.1342165	Osc
WBGene00000657	col-81	F38A3.1	0.535180921	271.449941	Osc
WBGene00000658	col-83	F33A8.9	0.762328764	23.63989923	Osc
WBGene00000663	col-88	W05G11.3	0.964441616	37.27431577	Osc
WBGene00000664	col-89	F17C8.2	2.412059771	3.539927105	Osc
WBGene00000665	col-90	C29E4.1	3.273893153	327.1758131	Osc
WBGene00000666	col-91	F09G8.6	3.431377302	67.77099368	Osc
WBGene00000667	col-92	W05B2.6	2.707293921	86.04219731	Osc
WBGene00000668	col-93	W05B2.5	2.882061731	101.8539121	Osc
WBGene00000669	col-94	W05B2.1	1.45384298	69.84403001	Osc
WBGene00000672	col-97	ZK1010.7	3.509065858	14.74171467	Osc
WBGene00000673	col-98	F14F7.1	3.368983305	162.4118295	Osc
WBGene00000675	col-101	K02D7.3	1.219130534	158.4149953	Osc
WBGene00000677	col-103	F56B3.1	3.178623227	159.3586202	Osc
WBGene00000678	col-104	F58F6.1	3.485733027	21.65559151	Osc
WBGene00000679	col-105	F58F6.2	1.693251721	325.1137359	Osc
WBGene00000681	col-107	C34H4.4	2.869653525	30.13568621	Osc
WBGene00000683	col-109	Y38C1BA.3	3.457161226	3.401781922	Osc
WBGene00000684	col-110	F19C7.7	2.695865159	267.1780729	Osc
WBGene00000685	col-111	F29B9.9	3.480501589	330.0476239	Osc
WBGene00000687	col-113	C34D4.15	2.877322801	17.71380577	Osc
WBGene00000689	col-115	Y42H9B.1	3.766990775	22.12683553	Osc
WBGene00000692	col-118	T11B7.3	1.672882045	49.46895355	Osc
WBGene00000694	col-120	Y11D7A.11	1.076998	355.8996948	Osc
WBGene00000697	col-123	W08D2.6	1.440874073	194.2624556	Osc
WBGene00000698	col-124	C24F3.6	0.765178642	208.0788208	Osc
WBGene00000699	col-125	C29F4.1	1.682747846	60.21960902	Osc
WBGene00000702	col-128	F12F6.9	3.475560104	231.0338731	Osc
WBGene00000704	col-130	F08G5.4	3.415610117	50.05282409	Osc
WBGene00000705	col-131	C39E9.3	3.377562509	320.6508673	Osc
WBGene00000707	col-133	F52B11.4	3.15723308	52.27212141	Osc
WBGene00000711	col-138	C52D10.13	2.001975789	324.2758696	Osc
WBGene00000712	col-139	F41F3.4	0.663606802	2.275428689	Osc
WBGene00000714	col-141	T15B7.5	2.753539206	139.0028727	Osc
WBGene00000715	col-142	T15B7.4	3.328399322	146.4689886	Osc
WBGene00000717	col-144	B0222.6	1.736880433	75.48791641	Osc
WBGene00000718	col-145	B0222.7	2.866642314	28.43850932	Osc
WBGene00000719	col-146	T06E4.6	3.917215981	96.76671799	Osc
WBGene00000720	col-147	T06E4.4	3.941769798	140.8031222	Osc
WBGene00000722	col-149	B0024.1	4.007023747	203.7888471	Osc
WBGene00000723	col-150	B0024.2	2.311622973	71.10826114	Osc
WBGene00000725	col-152	F32G8.5	0.893923502	120.1007815	Osc
WBGene00000726	col-153	F17C11.3	2.818517095	269.4839733	Osc
WBGene00000727	col-154	F55C10.2	1.947589329	57.09759811	Osc
WBGene00000728	col-155	F55C10.3	1.852690975	43.64496981	Osc
WBGene00000729	col-156	F57B7.3	3.494778793	6.414750003	Osc
WBGene00000730	col-157	T11F9.9	3.243022441	4.510342555	Osc
WBGene00000731	col-158	D2023.7	1.717123649	181.2208965	Osc
WBGene00000732	col-159	F57B1.3	2.808861433	76.43262401	Osc
WBGene00000733	col-160	F57B1.4	3.435245537	110.4546196	Osc
WBGene00000734	col-161	C50B6.4	3.640143645	42.95171471	Osc
WBGene00000735	col-162	Y2H9A.3	3.632285656	29.86705898	Osc
WBGene00000739	col-166	T07H6.3	1.613630041	80.5308581	Osc
WBGene00000740	col-167	T10E10.2	1.485305054	75.64097656	Osc
WBGene00000741	col-168	T10E10.1	1.502310137	85.57779782	Osc
WBGene00000742	col-169	T10E10.5	1.382726612	85.49356326	Osc
WBGene00000743	col-170	T10E10.6	1.38270632	82.15734544	Osc
WBGene00000745	col-172	F38B6.5	2.770724224	317.6586989	Osc
WBGene00000746	col-173	F41C6.5	3.450679907	326.8945685	Osc
WBGene00000747	col-174	F46C8.2	3.138322402	3.070222612	Osc
WBGene00000749	col-176	ZC373.7	2.263208899	164.3012023	Osc
WBGene00000750	col-177	F59F3.2	1.199512968	74.75769545	Osc
WBGene00000753	col-180	C44C10.1	2.080853382	54.62872197	Osc
WBGene00000755	col-182	R09A8.4	3.482782877	356.7176045	Osc
WBGene00000759	col-186	E03G2.4	1.491693886	22.95146071	Osc
WBGene00000760	col-187	C30F2.1	1.529256906	28.18181753	Osc
WBGene00000776	cpl-1	T03E6.7	1.63830897	294.2029747	Osc
WBGene00000777	cpn-1	F43G9.9	0.645249408	143.2343566	Osc
WBGene00000778	cpn-2	D1069.2	2.342679451	280.6872018	Osc
WBGene00000781	cpr-1	C52E4.1	1.653616839	234.6736885	Osc
WBGene00000783	cpr-3	T10H4.12	1.170477539	111.2918954	Osc
WBGene00000784	cpr-4	F44C4.3	1.334638657	209.0448662	Osc
WBGene00000785	cpr-5	W07B8.5	1.126160763	211.1471581	Osc
WBGene00000786	cpr-6	C25B8.3	2.073997194	309.1764335	Osc
WBGene00000788	cpz-1	F32B5.8	2.366767893	309.3376809	Osc
WBGene00000792	crb-1	F11C7.4	1.443767109	306.860575	Osc
WBGene00000793	crh-1	Y41C4A.4	0.580582779	69.27126449	Osc
WBGene00000797	crn-4	AH9.2	1.199589573	84.87484147	Osc
WBGene00000835	cuc-1	ZK652.11	0.789699302	350.4683706	Osc
WBGene00000841	cul-6	K08E7.7	0.997760703	97.86538476	Osc
WBGene00000853	cut-6	M142.2	1.870545759	290.6767675	Osc
WBGene00000870	cyd-1	Y38F1A.5	0.583341051	197.2983694	Osc
WBGene00000882	cyn-6	F42G9.2	1.577772323	200.8158041	Osc
WBGene00000893	cyn-17	ZC250.1	3.281600181	311.2175975	Osc
WBGene00000894	dab-1	M110.5	1.107526181	4.729140578	Osc
WBGene00000895	dac-1	B0412.1	0.873178347	87.28905409	Osc
WBGene00000902	daf-6	F31F6.5	2.250454279	283.5911371	Osc
WBGene00000928	dao-2	M03A1.7	3.494708417	235.4943821	Osc
WBGene00000929	dao-3	K07E3.3	1.059999583	333.0992423	Osc
WBGene00000930	dao-4	ZC373.6	1.354159215	318.0860016	Osc
WBGene00000932	dao-6	T05G5.12	2.769933506	18.00717733	Osc
WBGene00000934	dat-1	T23G5.5	0.641270665	94.0944142	Osc
WBGene00000952	del-1	E02H4.1	0.500375456	214.3105141	Osc
WBGene00000953	del-2	F58G6.6	0.673513535	317.2141377	Osc
WBGene00000968	dhs-4	T05F1.10	1.207415845	143.139167	Osc
WBGene00000969	dhs-5	F56D1.5	1.301709448	190.0480683	Osc
WBGene00000971	dhs-7	E04F6.7	1.014398871	302.5575924	Osc
WBGene00000972	dhs-8	K10H10.3	1.789100783	197.0647266	Osc
WBGene00000978	dhs-15	R05D8.10	1.398746309	175.5726132	Osc
WBGene00000979	dhs-16	C10F3.2	1.761011268	219.2516554	Osc
WBGene00000980	dhs-17	F29G9.6	0.509751939	129.9581632	Osc
WBGene00000981	dhs-18	C45B11.3	0.776928141	116.048666	Osc
WBGene00000982	dhs-19	T11F9.11	1.035472555	150.4494727	Osc
WBGene00000983	dhs-20	F35B12.2	0.781664966	219.1763085	Osc
WBGene00000984	dhs-21	R11D1.11	0.51026563	39.84792646	Osc
WBGene00000988	dhs-25	F09E10.3	0.86318843	139.2182389	Osc
WBGene00000990	dhs-27	C04F6.5	2.123691305	185.4335587	Osc
WBGene00000992	dhs-29	F27D9.6	1.357211802	213.6341358	Osc
WBGene00000995	die-1	C18D1.1	0.725193265	283.9040895	Osc
WBGene00001045	dnj-27	Y47H9C.5	1.20275355	231.7906265	Osc
WBGene00001054	dpf-1	T23F1.7	0.603774177	356.1219053	Osc
WBGene00001055	dpf-2	C27C12.7	1.043129637	101.9566828	Osc
WBGene00001059	dpf-6	F44B9.1	2.633296961	264.6699814	Osc
WBGene00001063	dpy-1	M01E10.2	3.431359011	354.7602822	Osc
WBGene00001064	dpy-2	T14B4.6	3.688872823	233.622817	Osc
WBGene00001065	dpy-3	EGAP7.1	3.832189296	237.3794363	Osc
WBGene00001066	dpy-4	Y41E3.2	3.140589901	325.6191932	Osc
WBGene00001067	dpy-5	F27C1.8	3.10985559	327.8156902	Osc
WBGene00001068	dpy-6	F16F9.2	3.75179366	165.5919214	Osc
WBGene00001069	dpy-7	F46C8.6	3.535783555	232.388369	Osc
WBGene00001070	dpy-8	C31H2.2	3.951725303	248.5029113	Osc
WBGene00001071	dpy-9	T21D12.2	3.573987803	227.5368276	Osc
WBGene00001072	dpy-10	T14B4.7	3.694141947	228.5937132	Osc
WBGene00001073	dpy-11	F46E10.9	1.313523133	265.2976291	Osc
WBGene00001074	dpy-13	F30B5.1	3.149799596	327.8250496	Osc
WBGene00001075	dpy-14	H27M09.4	0.55648608	213.1681009	Osc
WBGene00001077	dpy-18	Y47D3B.10	0.678398895	264.8579339	Osc
WBGene00001078	dpy-19	F22B7.10	0.897744304	196.6039374	Osc
WBGene00001079	dpy-20	T22B3.1	1.656628546	257.557002	Osc
WBGene00001089	dre-1	K04A8.6	1.053242369	230.9277209	Osc
WBGene00001105	dsl-3	Y41D4B.10	0.547423048	57.56900335	Osc
WBGene00001107	dsl-5	F58B3.8	1.415946764	154.7199388	Osc
WBGene00001109	dsl-7	F15B9.9	1.230834216	20.18108203	Osc
WBGene00001133	eat-2	Y48B6A.4	1.480350805	112.9140664	Osc
WBGene00001136	eat-5	F13G3.8	0.914610567	123.632209	Osc
WBGene00001148	eat-20	H30A04.1	1.401797823	299.1696615	Osc
WBGene00001150	ech-1	C29F3.1	0.904287051	324.4049896	Osc
WBGene00001156	ech-7	Y105E8A.4	0.551417967	219.9204521	Osc
WBGene00001158	ech-9	F01G10.3	1.055055291	185.7409721	Osc
WBGene00001159	eff-1	C26D10.5	1.289447242	211.2510616	Osc
WBGene00001186	egl-18	F55A8.1	0.73736284	184.9159048	Osc
WBGene00001193	egl-26	C23H3.1	0.77707492	29.61478793	Osc
WBGene00001240	elo-2	F11E6.5	0.561943645	181.4938165	Osc
WBGene00001241	elo-3	D2024.3	0.600125978	310.7196667	Osc
WBGene00001242	elo-4	C40H1.4	2.789769887	274.0243796	Osc
WBGene00001247	elo-9	Y53F4B.2	0.595314448	16.90949926	Osc
WBGene00001249	elt-1	W09C2.1	0.720295307	147.7823736	Osc
WBGene00001251	elt-3	K02B9.4	1.193939802	156.1948227	Osc
WBGene00001253	elt-6	F52C12.5	0.655508565	174.7979766	Osc
WBGene00001329	epn-1	T04C10.2	0.567272132	309.8808162	Osc
WBGene00001331	erd-2	F09B9.3	0.539363041	263.6456967	Osc
WBGene00001345	fos-1	F29G9.4	0.666163208	74.32382365	Osc
WBGene00001389	far-5	F15B9.3	1.744115065	176.7784489	Osc
WBGene00001391	far-7	K01A2.2	1.206729661	171.3578555	Osc
WBGene00001394	fat-2	W02A2.1	0.531498572	189.0882544	Osc
WBGene00001395	fat-3	W08D2.4	0.972871664	202.0052424	Osc
WBGene00001396	fat-4	T13F2.1	0.781157125	204.0888478	Osc
WBGene00001397	fat-5	W06D12.3	0.915612072	288.0487728	Osc
WBGene00001399	fat-7	F10D2.9	1.340414851	248.9023812	Osc
WBGene00001403	fbl-1	F56H11.1	0.83651149	77.97923291	Osc
WBGene00001410	feh-1	Y54F10AM.2	1.580485124	55.86464093	Osc
WBGene00001414	fer-1	F43G9.6	0.754795468	62.07526397	Osc
WBGene00001428	fkb-3	C05C8.3	1.479323825	294.7754537	Osc
WBGene00001429	fkb-4	ZC455.10	1.194660265	348.3960784	Osc
WBGene00001430	fkb-5	C50F2.6	2.195896129	243.6561556	Osc
WBGene00001432	fkb-7	B0511.1	1.738407815	209.1007833	Osc
WBGene00001439	fkh-7	F26D12.1	0.69923935	166.9873001	Osc
WBGene00001441	fkh-9	K03C7.2	0.642439241	38.70477659	Osc
WBGene00001476	fmo-1	K08C7.2	1.202490973	33.1518558	Osc
WBGene00001478	fmo-3	Y39A1A.19	1.705521986	110.3638656	Osc
WBGene00001479	fmo-4	F53F4.5	2.152220347	223.338041	Osc
WBGene00001489	frm-2	T04C9.6	0.579836191	339.1167538	Osc
WBGene00001492	frm-5	Y38C1AB.8	0.549968132	195.7981776	Osc
WBGene00001496	frm-10	F25H9.5	0.608304035	89.83725453	Osc
WBGene00001500	ftn-1	C54F6.14	2.098738851	286.221806	Osc
WBGene00001501	ftn-2	D1037.3	0.559759518	236.6179854	Osc
WBGene00001522	gbh-1	D2089.5	0.955381321	274.6681656	Osc
WBGene00001523	gbh-2	M05D6.7	0.521407135	238.8407207	Osc
WBGene00001547	gcy-22	T03D8.5	0.815007057	312.9675196	Osc
WBGene00001564	gei-7	C05E4.9	0.576188093	2.813429677	Osc
WBGene00001570	gei-13	F58A4.11	1.401977076	254.8833579	Osc
WBGene00001575	gei-18	Y37A1B.15	0.667559789	274.0479854	Osc
WBGene00001577	gem-4	T12A7.1	1.452497548	65.74303958	Osc
WBGene00001578	ges-1	R12A1.4	0.593626752	318.6657599	Osc
WBGene00001592	glc-2	F25F8.2	1.353003928	162.9451278	Osc
WBGene00001602	gln-1	C45B2.5	0.596232684	134.2466698	Osc
WBGene00001604	gln-3	Y105C5B.28	0.572652165	250.3144579	Osc
WBGene00001608	NA	R07B1.8	1.651463466	65.47107016	Osc
WBGene00001615	glr-4	C06A8.9	0.596063006	96.75483164	Osc
WBGene00001620	glt-1	C12D12.2	0.862960034	163.2903607	Osc
WBGene00001623	glt-5	Y53C12A.2	0.78864189	15.10572224	Osc
WBGene00001629	gly-4	Y116F11B.12	0.758844661	106.3275306	Osc
WBGene00001631	gly-6	H38K22.5	0.927882693	205.0664882	Osc
WBGene00001633	gly-8	Y66A7A.6	0.820646421	280.6510037	Osc
WBGene00001636	gly-11	Y75B8A.9	1.311305781	220.0951917	Osc
WBGene00001638	gly-13	B0416.6	0.513913352	112.0231422	Osc
WBGene00001666	gpa-4	T07A9.7	0.775934827	43.50262782	Osc
WBGene00001690	grd-1	R08B4.1	3.025654765	279.0152871	Osc
WBGene00001691	grd-2	F46B3.5	3.555396722	305.6412671	Osc
WBGene00001692	grd-3	W05E7.1	2.399006541	110.712928	Osc
WBGene00001693	grd-4	T01B10.1	0.636200585	55.12429987	Osc
WBGene00001694	grd-5	F41E6.2	2.305063399	2.711335754	Osc
WBGene00001695	grd-6	T18H9.1	4.064234307	34.62434128	Osc
WBGene00001699	grd-10	F09D12.1	2.606323612	101.0963617	Osc
WBGene00001700	grd-11	K02E2.2	2.482098755	350.768927	Osc
WBGene00001701	grd-12	F02D8.2	2.552958041	338.3927244	Osc
WBGene00001702	grd-13	W05E7.3	2.688446637	88.69606643	Osc
WBGene00001703	grd-14	T01B10.2	3.677336124	17.83635068	Osc
WBGene00001704	grd-15	Y87G2A.15	1.95663433	12.36158018	Osc
WBGene00001705	grd-16	Y69A2AL.1	0.780189738	241.450285	Osc
WBGene00001707	grh-1	Y48G8AR.1	1.882519953	269.1887299	Osc
WBGene00001710	grl-1	C24G6.7	3.022613152	31.84910766	Osc
WBGene00001711	grl-2	T16G1.8	2.343415045	288.1917647	Osc
WBGene00001713	grl-4	F42C5.7	3.882713125	71.3286556	Osc
WBGene00001714	grl-5	Y47D7A.5	4.07633109	311.9434009	Osc
WBGene00001715	grl-6	K10C2.5	3.11884201	48.06483079	Osc
WBGene00001716	grl-7	T02E9.2	3.93894591	303.1691869	Osc
WBGene00001719	grl-10	C26F1.5	2.721899919	276.4560646	Osc
WBGene00001721	grl-12	F28A12.2	1.641672405	278.8569276	Osc
WBGene00001722	grl-13	F32D1.4	1.186721131	56.53479538	Osc
WBGene00001723	grl-14	T03D8.4	1.609139713	294.3514218	Osc
WBGene00001724	grl-15	Y75B8A.20	3.779593873	294.5782229	Osc
WBGene00001725	grl-16	Y65B4BR.6	3.988990503	5.666263658	Osc
WBGene00001727	grl-18	T05C3.4	1.771324624	313.3747403	Osc
WBGene00001730	grl-21	ZC168.5	3.987416978	96.57769065	Osc
WBGene00001731	grl-22	W03A5.3	0.697579293	327.0053881	Osc
WBGene00001733	grl-24	F11E6.2	2.80519997	232.3279581	Osc
WBGene00001736	grl-27	F40C5.3	1.539722311	12.8733413	Osc
WBGene00001750	gst-2	K08F4.6	1.021850688	159.7830003	Osc
WBGene00001757	gst-9	R05F9.5	1.497705045	98.25373979	Osc
WBGene00001758	gst-10	Y45G12C.2	0.712732773	333.7203486	Osc
WBGene00001760	gst-12	F37B1.2	2.05112742	194.9906174	Osc
WBGene00001762	gst-14	F37B1.3	2.026446477	149.7307943	Osc
WBGene00001763	gst-15	F37B1.4	0.95283916	146.6216914	Osc
WBGene00001768	gst-20	Y48E1B.10	1.128329812	148.8041712	Osc
WBGene00001769	gst-21	ZK697.6	0.514886545	272.6875193	Osc
WBGene00001770	gst-22	F21H7.1	1.264198955	86.82182932	Osc
WBGene00001772	gst-24	F37B1.1	1.483232036	163.0849349	Osc
WBGene00001779	gst-31	Y53F4B.35	0.551296581	184.8542103	Osc
WBGene00001783	gst-35	Y1H11.2	0.553129081	321.1565382	Osc
WBGene00001786	gst-38	F35E8.8	1.220387319	127.1332111	Osc
WBGene00001789	gst-41	R13D7.7	2.423116459	138.0233448	Osc
WBGene00001795	gtl-1	C05C12.3	0.770714369	105.4416132	Osc
WBGene00001796	gtl-2	F54D1.5	0.596823735	140.3060531	Osc
WBGene00001817	haf-7	Y50E8A.16	0.75911241	120.6204241	Osc
WBGene00001820	ham-1	F53B2.6	1.2373629	108.9888833	Osc
WBGene00001821	ham-2	C07A12.1	1.619902613	124.8961945	Osc
WBGene00001839	hdl-1	ZK829.2	0.530267971	14.55072572	Osc
WBGene00001852	hil-1	C30G7.1	1.166246458	159.5090931	Osc
WBGene00001875	his-1	T10C6.14	0.54818923	302.656966	Osc
WBGene00001877	his-3	T10C6.12	0.911611827	291.9129143	Osc
WBGene00001878	his-4	T10C6.11	1.01958743	282.312986	Osc
WBGene00001905	his-31	F17E9.12	0.549843573	229.4225864	Osc
WBGene00001912	his-38	K03A1.6	0.556722264	300.8926934	Osc
WBGene00001933	his-59	F55G1.2	1.089910405	289.1218212	Osc
WBGene00001934	his-60	F55G1.11	0.892909946	277.2492598	Osc
WBGene00001935	his-61	F55G1.10	0.64755937	254.7315784	Osc
WBGene00001936	his-62	F55G1.3	0.798364304	256.807666	Osc
WBGene00001952	hlh-6	T15H9.3	0.705813697	255.2592226	Osc
WBGene00001962	hlh-19	F57C12.3	1.054030896	341.0967656	Osc
WBGene00001983	hoe-1	E04A4.4	1.074397979	116.4927968	Osc
WBGene00001984	hog-1	W06B11.4	1.461816244	322.2273781	Osc
WBGene00002008	hsp-4	F43E2.8	0.74811743	90.14355024	Osc
WBGene00002011	hsp-12.2	C14B9.1	0.551206395	148.4831794	Osc
